目录ID,目录名称,剂型,规格,生产企业,2017 4th price,2017 4th 目录类,2017 4th 报名企业家数,2017 3rd,2017 3rd price,2017 3rd 目录类,2017 3rd 报名企业家数,2017 2nd,2017 2nd price,2017 2nd 目录类,2017 2nd 报名企业家数,2017 1st,2017 1st price,2017 1st目录类,2017 1st报名企业家数,4th vs 1st,4th vs 1st %
4424,苓桂咳喘宁-胶囊剂-每粒装0.34g,胶囊剂,每粒装0.34g,河南省济源市济世药业有限公司,0.6455,其他基本药物,1,Y,0.6455,其他基本药物,1,Y,0.6455,其他基本药物,1,Y,0.6455,其他基本药物,1,0,0.00%
4436,硫糖铝-口服混悬液-120ml:24g,口服混悬液,120ml:24g,广东华南药业集团有限公司,18.238,其他基本药物,2,Y,18.238,其他基本药物,2,Y,18.238,其他基本药物,2,Y,18.238,其他基本药物,2,0,0.00%
4443,柳氮磺吡啶-栓剂-0.5g,栓剂,0.5g,江苏远恒药业有限公司,2.5,其他基本药物,7,Y,2.5,其他基本药物,7,Y,2.5,其他基本药物,7,Y,2.5,其他基本药物,7,0,0.00%
4444,六神-丸剂-每1000粒重3.125g,丸剂,每1000粒重3.125g,雷允上药业有限公司,0.2204,其他基本药物,1,Y,0.2204,其他基本药物,1,Y,0.2204,其他基本药物,1,Y,0.2204,其他基本药物,1,0,0.00%
4446,六味安消-散剂-每袋装1.5g,散剂,每袋装1.5g,金诃藏药股份有限公司,1.5233,其他基本药物,2,Y,1.5233,其他基本药物,2,Y,1.5233,其他基本药物,2,Y,1.5233,其他基本药物,2,0,0.00%
4448,六味安消-胶囊剂-每粒装0.5g,胶囊剂,每粒装0.5g,江西博士达药业有限责任公司,0.3671,其他基本药物,7,Y,0.3671,其他基本药物,7,Y,0.3671,其他基本药物,7,Y,0.3671,其他基本药物,7,0,0.00%
4451,龙胆泻肝-胶囊剂-0.25g,胶囊剂,0.25g,四川省新鹿药业有限公司,0.39,其他基本药物,2,Y,0.4,其他基本药物,2,Y,0.449,其他基本药物,2,Y,0.45,其他基本药物,2,-0.06,-13.33%
4452,龙胆泻肝-胶囊剂-0.5g,胶囊剂,0.5g,四川省新鹿药业有限公司,1.0278,其他基本药物,2,Y,1.0278,其他基本药物,2,Y,1.0278,其他基本药物,2,Y,1.0278,其他基本药物,2,0,0.00%
4456,癃闭舒-胶囊剂-每粒装0.45g,胶囊剂,每粒装0.45g,石家庄科迪药业有限公司,1.1875,其他基本药物,1,Y,1.1875,其他基本药物,1,Y,1.1875,其他基本药物,1,Y,1.1875,其他基本药物,1,0,0.00%
4457,癃清-片剂-每片重0.6g,片剂,每片重0.6g,天津中新药业集团股份有限公司隆顺榕制药厂,0.9779,其他基本药物,1,Y,0.9779,其他基本药物,1,Y,0.9779,其他基本药物,1,Y,0.9779,其他基本药物,1,0,0.00%
4458,癃清-胶囊剂-每粒装0.4g,胶囊剂,每粒装0.4g,重庆科瑞南海制药有限责任公司,0.8257,其他基本药物,1,Y,0.8257,其他基本药物,1,Y,0.8257,其他基本药物,1,Y,0.8257,其他基本药物,1,0,0.00%
4459,癃清-胶囊剂-每粒装0.5g,胶囊剂,每粒装0.5g,贵州远程制药有限责任公司,0.8671,其他基本药物,3,Y,0.8671,其他基本药物,3,Y,0.8671,其他基本药物,3,N,#N/A,#N/A,#N/A,#N/A,#N/A
4461,罗浮山风湿-膏药剂-每张净重5g,膏药剂,每张净重5g,广东罗浮山国药股份有限公司,8.9893,其他基本药物,2,Y,8.9893,其他基本药物,2,Y,8.9893,其他基本药物,2,Y,8.9893,其他基本药物,2,0,0.00%
4463,罗格列酮-分散片-4mg,分散片,4mg,浙江京新药业股份有限公司,1.7408,其他基本药物,3,Y,1.7408,其他基本药物,3,Y,1.7408,其他基本药物,3,Y,1.7408,其他基本药物,3,0,0.00%
4465,罗格列酮-片剂-2mg,片剂,2mg,浙江万晟药业有限公司,1.0721,其他基本药物,1,Y,1.0721,其他基本药物,1,Y,1.0721,其他基本药物,1,Y,1.0721,其他基本药物,1,0,0.00%
4472,罗红霉素-软胶囊(胶丸)-0.15g,软胶囊(胶丸),0.15g,浙江维康药业股份有限公司,1.5252,其他基本药物,2,Y,1.5252,其他基本药物,2,Y,1.5252,其他基本药物,2,Y,1.5252,其他基本药物,2,0,0.00%
4473,罗哌卡因-(盐酸盐)注射用无菌粉末-75mg,(盐酸盐)注射用无菌粉末,75mg,广东华润顺峰药业有限公司,23.714,其他基本药物,2,Y,24.25,其他基本药物,2,Y,23.7,其他基本药物,2,Y,24.25,其他基本药物,2,-0.536,-2.21%
4474,罗哌卡因-(甲磺酸盐)注射用无菌粉末-119.2mg,(甲磺酸盐)注射用无菌粉末,119.2mg,山西普德药业股份有限公司,29.2758,其他基本药物,2,Y,29.2758,其他基本药物,2,Y,29.2758,其他基本药物,2,Y,29.2758,其他基本药物,2,0,0.00%
4477,裸花紫珠-胶囊剂-每粒装0.4g(每粒含干浸膏0.3g),胶囊剂,每粒装0.4g(每粒含干浸膏0.3g),江西杏林白马药业有限公司,0.6844,其他基本药物,2,Y,0.6844,其他基本药物,2,Y,0.6844,其他基本药物,2,Y,0.6844,其他基本药物,2,0,0.00%
4478,裸花紫珠-胶囊剂-每粒装0.3g(每粒含干浸膏0.2g),胶囊剂,每粒装0.3g(每粒含干浸膏0.2g),江西银涛药业有限公司,0.3243,其他基本药物,4,Y,0.3243,其他基本药物,4,Y,0.3243,其他基本药物,4,Y,0.3302,其他基本药物,4,-0.0059,-1.79%
4479,裸花紫珠-颗粒剂-3g(含干浸膏0.8g) 无糖型,颗粒剂,3g(含干浸膏0.8g),江西普正制药有限公司,5.0627,其他基本药物,1,Y,5.0627,其他基本药物,1,Y,5.0627,其他基本药物,1,Y,5.0627,其他基本药物,1,0,0.00%
4480,裸花紫珠-片剂-含干浸膏0.5g,片剂,含干浸膏0.5g,海南九芝堂药业有限公司,0.8381,其他基本药物,1,Y,0.8381,其他基本药物,1,Y,0.8381,其他基本药物,1,Y,0.8381,其他基本药物,1,0,0.00%
4481,洛哌丁胺-(盐酸)胶囊剂-2mg,(盐酸)胶囊剂,2mg,上海朝晖药业有限公司,0.3113,其他基本药物,5,Y,0.3113,其他基本药物,5,Y,0.3113,其他基本药物,5,Y,0.3113,其他基本药物,5,0,0.00%
4484,"铝镁颠茄-片剂-氢氧化铝0.1g,碳酸氢钠0.2g,颠茄流浸膏0.004ml",片剂,"氢氧化铝0.1g,碳酸氢钠0.2g,颠茄流浸膏0.004ml",山西省临汾健民制药厂,0.91,其他基本药物,2,Y,0.91,其他基本药物,2,Y,0.91,其他基本药物,2,Y,0.91,其他基本药物,2,0,0.00%
4485,铝镁加-口服混悬液-15ml:1.5g,口服混悬液,15ml:1.5g,扬州一洋制药有限公司,2.0038,其他基本药物,2,Y,2.0038,其他基本药物,2,Y,2.0038,其他基本药物,2,Y,2.0038,其他基本药物,2,0,0.00%
4486,铝碳酸镁-片剂-0.5g,片剂,0.5g,湖北欧立制药有限公司,0.4361,其他基本药物,14,Y,0.228,其他基本药物,14,Y,0.244,其他基本药物,14,Y,0.2499,其他基本药物,14,0.1862,74.51%
4487,氯吡格雷-片剂-25mg,片剂,25mg,乐普药业股份有限公司,2.6313,其他基本药物,2,Y,2.6313,其他基本药物,2,Y,2.6313,其他基本药物,2,Y,2.6313,其他基本药物,2,0,0.00%
4488,氯吡格雷-片剂-75mg,片剂,75mg,乐普药业股份有限公司,6.1013,其他基本药物,2,Y,6.1013,其他基本药物,2,Y,6.1013,其他基本药物,2,Y,6.1013,其他基本药物,2,0,0.00%
4495,氯化钠-注射液-0.9%(10ml) 玻璃瓶,注射液,0.9%(10ml),天津金耀集团湖北天药药业股份有限公司,0.136,其他基本药物,16,Y,0.136,其他基本药物,16,Y,0.1557,其他基本药物,16,Y,0.1557,其他基本药物,16,-0.0197,-12.65%
4511,氯雷他定-分散片-10mg,分散片,10mg,北京双鹭药业股份有限公司,1.922,其他基本药物,2,Y,1.922,其他基本药物,2,Y,1.922,其他基本药物,2,Y,1.922,其他基本药物,2,0,0.00%
4512,氯雷他定-分散片-5mg,分散片,5mg,北京双鹭药业股份有限公司,1.1306,其他基本药物,1,Y,1.1306,其他基本药物,1,Y,1.1306,其他基本药物,1,Y,1.1306,其他基本药物,1,0,0.00%
4514,氯米帕明-片剂-25mg,片剂,25mg,江苏恩华药业股份有限公司,0.264,其他基本药物,6,Y,0.27,其他基本药物,6,Y,0.283,其他基本药物,6,Y,0.28,其他基本药物,6,-0.016,-5.71%
4516,氯沙坦钾-片剂-50mg,片剂,50mg,山德士(中国)制药有限公司,1.46,其他基本药物,8,Y,1.5,其他基本药物,7,Y,1.5428,其他基本药物,6,Y,1.5786,其他基本药物,6,-0.1186,-7.51%
4517,氯沙坦钾-片剂-100mg,片剂,100mg,浙江华海药业股份有限公司,3.6,其他基本药物,2,Y,3.87,其他基本药物,2,Y,3.71,其他基本药物,2,Y,3.639,其他基本药物,2,-0.039,-1.07%
4519,氯沙坦钾氢氯噻嗪-片剂-氯沙坦钾100mg和氢氯噻嗪25mg,片剂,氯沙坦钾100mg和氢氯噻嗪25mg,乐普药业科技有限公司,6.1117,其他基本药物,2,Y,6.1117,其他基本药物,2,Y,6.1117,其他基本药物,2,Y,6.1117,其他基本药物,2,0,0.00%
4527,脉管复康-片剂-每片重0.6g,片剂,每片重0.6g,天津同仁堂集团股份有限公司,0.8572,其他基本药物,2,Y,0.8572,其他基本药物,2,Y,0.8572,其他基本药物,2,Y,0.8572,其他基本药物,2,0,0.00%
4528,脉管复康-胶囊剂-每粒装0.45g,胶囊剂,每粒装0.45g,陕西东泰制药有限公司,0.8831,其他基本药物,3,Y,0.8831,其他基本药物,3,Y,0.8831,其他基本药物,3,Y,0.8831,其他基本药物,3,0,0.00%
4530,脉平-片剂-每片重0.28g,片剂,每片重0.28g,康县独一味生物制药有限公司,0.4891,其他基本药物,2,Y,0.4891,其他基本药物,2,Y,0.4891,其他基本药物,2,Y,0.4891,其他基本药物,2,0,0.00%
4531,脉血康-胶囊剂-每粒装0.25g,胶囊剂,每粒装0.25g,重庆多普泰制药股份有限公司,0.8782,其他基本药物,6,Y,0.8782,其他基本药物,6,Y,0.8782,其他基本药物,6,Y,0.8782,其他基本药物,6,0,0.00%
4532,脉血康-肠溶片-复方,肠溶片,复方,重庆多普泰制药股份有限公司,1.136,其他基本药物,1,Y,1.136,其他基本药物,1,Y,1.136,其他基本药物,1,Y,1.136,其他基本药物,1,0,0.00%
4535,"美敏伪麻-口服溶液剂-100ml(每ml含盐酸伪麻黄碱6mg,氢溴酸右美沙芬2mg,马来酸氯苯那敏0.4mg)",口服溶液剂,"100ml(每ml含盐酸伪麻黄碱6mg,氢溴酸右美沙芬2mg,马来酸氯苯那敏0.4mg)",惠氏制药有限公司,13.1167,其他基本药物,1,Y,13.1167,其他基本药物,1,Y,13.1167,其他基本药物,1,Y,13.1167,其他基本药物,1,0,0.00%
4536,"美敏伪麻-口服溶液剂-100ml(每ml含盐酸伪麻黄碱3mg,氢溴酸右美沙芬1mg,马来酸氯苯那敏0.2mg)",口服溶液剂,"100ml(每ml含盐酸伪麻黄碱3mg,氢溴酸右美沙芬1mg,马来酸氯苯那敏0.2mg)",天大药业(珠海)有限公司,10.4,其他基本药物,3,Y,10.43,其他基本药物,3,Y,10.46,其他基本药物,3,Y,10.47,其他基本药物,3,-0.07,-0.67%
4537,"美敏伪麻-口服溶液剂-60ml:每毫升内含盐酸伪麻黄碱3毫克,氢溴酸右美沙芬1毫克,马来酸氯苯那敏0.2毫克",口服溶液剂,"60ml:每毫升内含盐酸伪麻黄碱3毫克,氢溴酸右美沙芬1毫克,马来酸氯苯那敏0.2毫克",天大药业(珠海)有限公司,8.6369,其他基本药物,1,Y,8.6369,其他基本药物,1,Y,8.6369,其他基本药物,1,Y,8.6369,其他基本药物,1,0,0.00%
4539,美扑伪麻-片剂-复方(含对乙酰氨基酚500mg、氢溴酸右美沙芬15mg、盐酸伪麻黄碱30mg、马来酸氯苯那敏2mg),片剂,复方(含对乙酰氨基酚500mg、氢溴酸右美沙芬15mg、盐酸伪麻黄碱30mg、马来酸氯苯那敏2mg),中美天津史克制药有限公司,0.795,其他基本药物,1,Y,0.795,其他基本药物,1,Y,0.795,其他基本药物,1,Y,0.795,其他基本药物,1,0,0.00%
4541,美司钠-注射液-4ml:0.4g,注射液,4ml:0.4g,齐鲁制药(海南)有限公司,8.993,其他基本药物,4,Y,8.996,其他基本药物,4,Y,8.996,其他基本药物,4,Y,8.996,其他基本药物,4,-0.003,-0.03%
4546,"美愈伪麻-口服溶液剂-每ml含盐酸伪麻黄碱3mg,氢溴酸右美沙芬1.5mg,愈创木酚甘油醚10mg",口服溶液剂,"每ml含盐酸伪麻黄碱3mg,氢溴酸右美沙芬1.5mg,愈创木酚甘油醚10mg",西南药业股份有限公司,12.1567,其他基本药物,1,Y,12.1567,其他基本药物,1,Y,12.1567,其他基本药物,1,Y,12.1567,其他基本药物,1,0,0.00%
4549,门冬氨酸钾镁-注射用无菌粉末-含L-门冬氨酸1.7g与钾228mg与镁84mg,注射用无菌粉末,含L-门冬氨酸1.7g与钾228mg与镁84mg,山西普德药业股份有限公司,13.828,其他基本药物,3,Y,13.828,其他基本药物,3,Y,13.828,其他基本药物,3,Y,13.828,其他基本药物,3,0,0.00%
4551,门冬氨酸钾镁-注射液-20ml:无水门冬氨酸钾904mg(相当于206.6mg的钾离子)和无水门冬氨酸镁800mg(相当于67.4mg的镁离子),注射液,20ml:无水门冬氨酸钾904mg(相当于206.6mg的钾离子)和无水门冬氨酸镁800mg(相当于67.4mg的镁离子),瑞阳制药有限公司,10.916,其他基本药物,2,Y,10.916,其他基本药物,2,Y,10.916,其他基本药物,2,Y,10.916,其他基本药物,2,0,0.00%
4552,门冬酰胺酶-注射用无菌粉末-5000单位,注射用无菌粉末,5000单位,北京双鹭药业股份有限公司,71.2675,其他基本药物,1,Y,71.2675,其他基本药物,1,Y,71.0933,其他基本药物,1,Y,71.0933,其他基本药物,1,0.1742,0.25%
4553,门冬酰胺酶-注射用无菌粉末-10000单位,注射用无菌粉末,10000单位,广州白云山明兴制药有限公司,119.95,其他基本药物,3,Y,120.24,其他基本药物,3,Y,119.95,其他基本药物,3,Y,120.09,其他基本药物,2,-0.14,-0.12%
4554,蒙脱石-散剂-3g,散剂,3g,湖南方盛制药股份有限公司,0.302,其他基本药物,23,Y,0.3085,其他基本药物,23,Y,0.3085,其他基本药物,23,Y,0.3097,其他基本药物,23,-0.0077,-2.49%
4557,咪康唑-阴道软胶囊-0.4g,阴道软胶囊,0.4g,南昌百济制药有限公司,4.99,其他基本药物,3,Y,4.9936,其他基本药物,3,Y,4.994,其他基本药物,3,Y,4.98,其他基本药物,3,0.01,0.20%
4562,米多君-片剂-2.5mg,片剂,2.5mg,国药集团川抗制药有限公司,1.9837,其他基本药物,2,Y,1.9837,其他基本药物,2,Y,1.9837,其他基本药物,2,Y,1.9837,其他基本药物,2,0,0.00%
4568,蜜炼川贝枇杷-煎膏剂-345g,煎膏剂,345g,广州白云山潘高寿药业股份有限公司,22.95,其他基本药物,1,Y,22.95,其他基本药物,1,Y,22.95,其他基本药物,1,Y,22.95,其他基本药物,1,0,0.00%
4570,灭菌注射用水-注射液-10ml 塑料瓶,注射液,10ml,华润双鹤药业股份有限公司,1.226,其他基本药物,5,Y,1.196,其他基本药物,4,N,#N/A,#N/A,#N/A,N,#N/A,#N/A,#N/A,#N/A,#N/A
4571,灭菌注射用水-注射液-2ml 玻璃瓶,注射液,2ml,江西润泽药业有限公司,0.0794,其他基本药物,8,Y,0.079,其他基本药物,8,Y,0.076,其他基本药物,8,Y,0.076,其他基本药物,8,0.0034,4.47%
4572,灭菌注射用水-注射液-500ml 玻璃瓶,注射液,500ml,石家庄四药有限公司,1.7,其他基本药物,5,Y,1.7,其他基本药物,5,Y,1.57,其他基本药物,5,Y,1.417,其他基本药物,4,0.283,19.97%
4574,灭菌注射用水-注射液-5ml 玻璃瓶,注射液,5ml,湖北兴华制药有限公司,0.1269,其他基本药物,14,Y,0.1278,其他基本药物,13,Y,0.099,其他基本药物,13,Y,0.106,其他基本药物,12,0.0209,19.72%
4583,莫匹罗星-软膏剂-2%,软膏剂,0.02,海南天祥药业有限公司,10.34,其他基本药物,2,Y,10.36,其他基本药物,2,Y,10.46,其他基本药物,2,Y,10.58,其他基本药物,2,-0.24,-2.27%
4584,莫沙必利-分散片-5mg,分散片,5mg,成都康弘药业集团股份有限公司,1.078,其他基本药物,1,Y,1.078,其他基本药物,1,Y,1.078,其他基本药物,1,Y,1.078,其他基本药物,1,0,0.00%
4585,莫沙必利-胶囊剂-5mg,胶囊剂,5mg,上海上药信谊药厂有限公司,0.8456,其他基本药物,3,Y,0.8456,其他基本药物,3,N,#N/A,#N/A,#N/A,N,#N/A,#N/A,#N/A,#N/A,#N/A
4586,莫沙必利-片剂-5mg,片剂,5mg,亚宝药业集团股份有限公司,0.477,其他基本药物,3,Y,0.477,其他基本药物,3,Y,0.477,其他基本药物,3,Y,0.477,其他基本药物,3,0,0.00%
4593,脑安-颗粒剂-每袋装1.2g,颗粒剂,每袋装1.2g,河南省百泉制药有限公司,4.1035,其他基本药物,2,Y,4.1035,其他基本药物,2,Y,4.1035,其他基本药物,2,N,#N/A,#N/A,#N/A,#N/A,#N/A
4594,脑安-胶囊剂-每粒装0.4g,胶囊剂,每粒装0.4g,辽源誉隆亚东药业有限责任公司,1.0541,其他基本药物,4,Y,1.0862,其他基本药物,4,Y,1.0541,其他基本药物,4,Y,1.0862,其他基本药物,4,-0.0321,-2.96%
4595,脑安-片剂-每片重0.53g,片剂,每片重0.53g,哈药集团三精制药四厂有限公司,1.1471,其他基本药物,1,Y,1.1471,其他基本药物,1,Y,1.1471,其他基本药物,1,Y,1.1471,其他基本药物,1,0,0.00%
4596,脑安-滴丸剂-每丸重50mg,滴丸剂,每丸重50mg,辽源誉隆亚东药业有限责任公司,0.234,其他基本药物,2,Y,0.234,其他基本药物,2,Y,0.234,其他基本药物,2,N,#N/A,#N/A,#N/A,#N/A,#N/A
4597,"脑蛋白水解物-注射用无菌粉末-60mg(以总氮计) 日均服用量大于1支,小于等于2支",注射用无菌粉末,60mg(以总氮计),山西普德药业股份有限公司,23.21,其他基本药物,1,Y,26.634,其他基本药物,1,Y,23.21,其他基本药物,1,Y,26.634,其他基本药物,3,-3.424,-12.86%
4599,脑蛋白水解物-片剂-6.5mg(按氨基氮计算):14.4mg(按总氮计算),片剂,6.5mg(按氨基氮计算):14.4mg(按总氮计算),上海长城药业有限公司,0.7333,其他基本药物,5,Y,0.76,其他基本药物,5,Y,0.8,其他基本药物,5,Y,0.8108,其他基本药物,5,-0.0775,-9.56%
4600,脑蛋白水解物-片剂-13mg(按氨基氮计算):28.8mg(按总氮计算),片剂,13mg(按氨基氮计算):28.8mg(按总氮计算),黑龙江江世药业有限公司,1.7711,其他基本药物,2,Y,1.7711,其他基本药物,2,Y,1.7711,其他基本药物,2,Y,1.7711,其他基本药物,2,0,0.00%
4602,脑栓通-胶囊剂-每粒装0.4g,胶囊剂,每粒装0.4g,广东华南药业集团有限公司,1.21,其他基本药物,2,Y,1.21,其他基本药物,2,Y,1.21,其他基本药物,2,Y,1.21,其他基本药物,2,0,0.00%
4603,脑心清-胶囊剂-每粒装0.15g(含柿叶干浸膏50mg),胶囊剂,每粒装0.15g(含柿叶干浸膏50mg),国药集团宜宾制药有限责任公司,0.988,其他基本药物,1,N,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4604,脑心清-胶囊剂-0.25g(含柿叶干浸膏50mg),胶囊剂,0.25g(含柿叶干浸膏50mg),辽宁上药好护士药业（集团）有限公司,1.0154,其他基本药物,4,Y,0.9418,其他基本药物,4,Y,0.9418,其他基本药物,4,Y,1.0154,其他基本药物,4,0,0.00%
4605,脑心清-片剂-每片重0.41g(含柿叶提取物50mg),片剂,每片重0.41g(含柿叶提取物50mg),广州白云山和记黄埔中药有限公司,1.1318,其他基本药物,1,Y,1.1318,其他基本药物,1,Y,1.1318,其他基本药物,1,Y,1.1318,其他基本药物,1,0,0.00%
4608,脑心通-胶囊剂-每粒装0.4g,胶囊剂,每粒装0.4g,陕西步长制药有限公司,0.6446,其他基本药物,2,Y,0.6446,其他基本药物,2,Y,0.6446,其他基本药物,2,N,#N/A,#N/A,#N/A,#N/A,#N/A
4610,内消瘰疬-丸剂-每10丸重1.85g,丸剂,每10丸重1.85g,兰州佛慈制药股份有限公司,0.1691,其他基本药物,3,Y,0.1789,其他基本药物,3,Y,0.1709,其他基本药物,3,Y,0.1344,其他基本药物,3,0.0347,25.82%
4612,内消瘰疬-丸剂-每瓶装9g,丸剂,每瓶装9g,吉林紫鑫药业股份有限公司,2.3445,其他基本药物,6,Y,2.3495,其他基本药物,6,Y,2.3499,其他基本药物,6,Y,2.468,其他基本药物,6,-0.1235,-5.00%
4617,尿促性素-注射用无菌粉末-75IU,注射用无菌粉末,75IU,宁波人健药业集团股份有限公司,14.0001,其他基本药物,5,Y,16.28,其他基本药物,4,Y,17.16,其他基本药物,4,Y,17.9,其他基本药物,4,-3.8999,-21.79%
4619,尿毒清-颗粒剂-每袋装5g 无糖型,颗粒剂,每袋装5g,康臣药业(内蒙古)有限责任公司,3.569,其他基本药物,1,Y,3.569,其他基本药物,1,Y,3.569,其他基本药物,1,Y,3.569,其他基本药物,1,0,0.00%
4622,尿石通-丸剂-4g,丸剂,4g,东莞市亚洲制药有限公司,3.8867,其他基本药物,2,Y,3.8867,其他基本药物,2,Y,3.8867,其他基本药物,2,Y,3.8867,其他基本药物,2,0,0.00%
4628,宁泌泰-胶囊剂-每粒装0.38g,胶囊剂,每粒装0.38g,贵阳新天药业股份有限公司,0.8,其他基本药物,1,Y,0.8,其他基本药物,1,Y,0.8,其他基本药物,1,Y,0.8,其他基本药物,1,0,0.00%
4630,凝血酶-冻干粉针剂-500单位,冻干粉针剂,500单位,浙江杭康药业有限公司,7.7916,其他基本药物,4,Y,7.3229,其他基本药物,4,Y,7.3229,其他基本药物,4,Y,7.3229,其他基本药物,4,0.4687,6.40%
4633,牛黄解毒-软胶囊(胶丸)-每粒装0.4g,软胶囊(胶丸),每粒装0.4g,北京康而福药业有限责任公司,0.3221,其他基本药物,2,N,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4634,牛黄清感-胶囊剂-每粒装0.3g,胶囊剂,每粒装0.3g,黑龙江澳利达奈德制药有限公司,0.8804,其他基本药物,2,Y,0.8804,其他基本药物,2,Y,0.8804,其他基本药物,2,Y,0.8804,其他基本药物,2,0,0.00%
4637,牛黄蛇胆川贝-片剂-每片重0.41g,片剂,每片重0.41g,江西保利制药有限公司,1.0625,其他基本药物,1,Y,1.0625,其他基本药物,1,Y,1.0625,其他基本药物,1,Y,1.0625,其他基本药物,1,0,0.00%
4638,牛黄蛇胆川贝-口服液-每支(瓶)10ml,口服液,每支(瓶)10ml,山东孔府制药有限公司,1.5931,其他基本药物,3,Y,1.7282,其他基本药物,3,Y,1.5931,其他基本药物,3,Y,1.7282,其他基本药物,3,-0.1351,-7.82%
4639,牛黄蛇胆川贝-口服液-每支(瓶)100ml,口服液,每支(瓶)100ml,江西南昌桑海制药厂,19.53,其他基本药物,2,Y,19.53,其他基本药物,2,Y,19.53,其他基本药物,2,Y,19.53,其他基本药物,2,0,0.00%
4640,诺迪康-胶囊剂-每粒装0.28g,胶囊剂,每粒装0.28g,西藏诺迪康药业股份有限公司,0.9065,其他基本药物,1,Y,0.9065,其他基本药物,1,Y,0.9065,其他基本药物,1,Y,0.9065,其他基本药物,1,0,0.00%
4643,帕罗西汀-片剂-20mg,片剂,20mg,浙江尖峰药业有限公司,3.4769,其他基本药物,4,Y,3.3382,其他基本药物,4,Y,3.3382,其他基本药物,4,Y,3.4769,其他基本药物,4,0,0.00%
4644,排石-颗粒剂-每袋装5g 无糖型,颗粒剂,每袋装5g,广东益和堂制药有限公司,1.277,其他基本药物,6,Y,1.277,其他基本药物,5,Y,1.277,其他基本药物,5,Y,1.277,其他基本药物,5,0,0.00%
4645,排石颗粒-颗粒剂-每袋装20g,颗粒剂,每袋装20g,广东益和堂制药有限公司,1.0596,其他基本药物,7,Y,1.0596,其他基本药物,7,Y,1.0596,其他基本药物,7,Y,1.0596,其他基本药物,7,0,0.00%
4649,哌拉西林舒巴坦-注射用无菌粉末-0.75g,注射用无菌粉末,0.75g,苏州二叶制药有限公司,15.829,其他基本药物,2,Y,16.5531,其他基本药物,2,Y,15.829,其他基本药物,2,Y,16.5531,其他基本药物,2,-0.7241,-4.37%
4650,哌拉西林舒巴坦-注射用无菌粉末-1.5g,注射用无菌粉末,1.5g,湘北威尔曼制药股份有限公司,28.1403,其他基本药物,2,Y,26.91,其他基本药物,2,Y,28.1403,其他基本药物,2,Y,26.91,其他基本药物,2,1.2303,4.57%
4651,哌拉西林舒巴坦-注射用无菌粉末-3.0g,注射用无菌粉末,3.0g,苏州二叶制药有限公司,45.747,其他基本药物,2,Y,47.8385,其他基本药物,2,Y,45.747,其他基本药物,2,Y,47.8385,其他基本药物,2,-2.0915,-4.37%
4653,"盘龙七-片剂-薄膜衣片每片重0.3g,糖衣片",片剂,"薄膜衣片每片重0.3g,糖衣片",陕西盘龙药业集团股份有限公司,0.8538,其他基本药物,4,Y,0.8538,其他基本药物,4,Y,0.8538,其他基本药物,4,Y,0.8538,其他基本药物,4,0,0.00%
4654,泮托拉唑-注射用无菌粉末-40mg,注射用无菌粉末,40mg,海南锦瑞制药有限公司,3.78,其他基本药物,54,Y,3.78,其他基本药物,53,Y,3.89,其他基本药物,53,Y,0.9,其他基本药物,51,2.88,320.00%
4655,泮托拉唑-注射用无菌粉末-80mg,注射用无菌粉末,80mg,海南灵康制药有限公司,20.57,其他基本药物,24,Y,16.19,其他基本药物,23,Y,12,其他基本药物,23,Y,6.3,其他基本药物,20,14.27,226.51%
4656,喷托维林氯化铵-片剂-枸橼酸喷托维林25mg、氯化铵300mg,片剂,枸橼酸喷托维林25mg、氯化铵300mg,西南药业股份有限公司,1.6879,其他基本药物,1,Y,1.6879,其他基本药物,1,Y,1.6879,其他基本药物,1,Y,1.6879,其他基本药物,1,0,0.00%
4659,匹多莫德-片剂-0.4g,片剂,0.4g,太阳石(唐山)药业有限公司,5.898,其他基本药物,1,Y,5.898,其他基本药物,1,Y,5.898,其他基本药物,1,Y,5.898,其他基本药物,1,0,0.00%
4660,平消-胶囊剂-每粒装0.23g,胶囊剂,每粒装0.23g,西安正大制药有限公司,0.5707,其他基本药物,1,Y,0.5707,其他基本药物,1,Y,0.5707,其他基本药物,1,Y,0.5707,其他基本药物,1,0,0.00%
4661,平消-片剂-薄膜衣片每片重0.24g,片剂,薄膜衣片每片重0.24g,西安正大制药有限公司,0.239,其他基本药物,7,Y,0.239,其他基本药物,7,Y,0.2397,其他基本药物,7,Y,0.25,其他基本药物,7,-0.011,-4.40%
4662,平消-片剂-糖衣片片芯重0.23g,片剂,糖衣片片芯重0.23g,西安正大制药有限公司,0.2415,其他基本药物,3,Y,0.2415,其他基本药物,3,N,#N/A,#N/A,#N/A,N,#N/A,#N/A,#N/A,#N/A,#N/A
4684,普伐他汀-片剂-20mg,片剂,20mg,海正辉瑞制药有限公司,3.4932,其他基本药物,3,Y,3.6094,其他基本药物,3,Y,3.4932,其他基本药物,3,Y,3.6094,其他基本药物,3,-0.1162,-3.22%
